Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-09-23 00:00:00,27.26,0.0,0.0
2017-09-23 01:00:00,20.26,0.0,0.0
2017-09-23 02:00:00,17.8,0.0,0.0
2017-09-23 03:00:00,17.42,117.647058823529,100.0
2017-09-23 04:00:00,17.18,117.647058823529,200.0
2017-09-23 05:00:00,17.69,0.0,200.0
2017-09-23 06:00:00,19.95,0.0,200.0
2017-09-23 07:00:00,20.66,0.0,200.0
2017-09-23 08:00:00,26.62,0.0,200.0
2017-09-23 09:00:00,29.24,0.0,200.0
2017-09-23 10:00:00,28.22,0.0,200.0
2017-09-23 11:00:00,32.79,0.0,200.0
2017-09-23 12:00:00,34.01,0.0,200.0
2017-09-23 13:00:00,38.04,0.0,200.0
2017-09-23 14:00:00,39.45,0.0,200.0
2017-09-23 15:00:00,43.32,0.0,200.0
2017-09-23 16:00:00,46.49,-117.647058823529,100.0
2017-09-23 17:00:00,45.6,-117.647058823529,0.0
2017-09-23 18:00:00,40.32,0.0,0.0
2017-09-23 19:00:00,42.25,0.0,0.0
2017-09-23 20:00:00,39.71,0.0,0.0
2017-09-23 21:00:00,37.69,0.0,0.0
2017-09-23 22:00:00,32.94,0.0,0.0
2017-09-23 23:00:00,25.63,0.0,0.0
