Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-03-27 00:00:00,24.47,0.0,0.0
2017-03-27 01:00:00,23.02,0.0,0.0
2017-03-27 02:00:00,22.91,0.0,0.0
2017-03-27 03:00:00,22.79,117.647058823529,100.0
2017-03-27 04:00:00,22.88,117.647058823529,200.0
2017-03-27 05:00:00,23.77,0.0,200.0
2017-03-27 06:00:00,29.77,0.0,200.0
2017-03-27 07:00:00,36.05,0.0,200.0
2017-03-27 08:00:00,35.99,0.0,200.0
2017-03-27 09:00:00,38.75,0.0,200.0
2017-03-27 10:00:00,36.92,0.0,200.0
2017-03-27 11:00:00,37.27,0.0,200.0
2017-03-27 12:00:00,35.13,0.0,200.0
2017-03-27 13:00:00,32.77,0.0,200.0
2017-03-27 14:00:00,31.23,0.0,200.0
2017-03-27 15:00:00,31.06,0.0,200.0
2017-03-27 16:00:00,31.75,0.0,200.0
2017-03-27 17:00:00,33.97,0.0,200.0
2017-03-27 18:00:00,37.63,0.0,200.0
2017-03-27 19:00:00,44.18,-117.647058823529,100.0
2017-03-27 20:00:00,40.0,-117.647058823529,0.0
2017-03-27 21:00:00,33.23,0.0,0.0
2017-03-27 22:00:00,26.35,0.0,0.0
2017-03-27 23:00:00,24.34,0.0,0.0
2017-03-03 00:00:00,17.76,0.0,0.0
2017-03-03 01:00:00,15.5,117.647058823529,100.0
2017-03-03 02:00:00,15.71,0.0,100.0
2017-03-03 03:00:00,14.99,117.647058823529,200.0
2017-03-03 04:00:00,16.41,0.0,200.0
2017-03-03 05:00:00,21.18,0.0,200.0
2017-03-03 06:00:00,26.15,0.0,200.0
2017-03-03 07:00:00,29.08,0.0,200.0
2017-03-03 08:00:00,29.73,0.0,200.0
2017-03-03 09:00:00,29.75,0.0,200.0
2017-03-03 10:00:00,31.06,0.0,200.0
2017-03-03 11:00:00,29.91,0.0,200.0
2017-03-03 12:00:00,28.39,0.0,200.0
2017-03-03 13:00:00,27.69,0.0,200.0
2017-03-03 14:00:00,25.86,0.0,200.0
2017-03-03 15:00:00,25.97,0.0,200.0
2017-03-03 16:00:00,27.81,0.0,200.0
2017-03-03 17:00:00,33.62,0.0,200.0
2017-03-03 18:00:00,40.26,-117.647058823529,100.0
2017-03-03 19:00:00,37.97,-117.647058823529,0.0
2017-03-03 20:00:00,32.05,0.0,0.0
2017-03-03 21:00:00,28.65,0.0,0.0
2017-03-03 22:00:00,26.21,0.0,0.0
2017-03-03 23:00:00,25.11,0.0,0.0
2017-03-31 00:00:00,26.1,0.0,0.0
2017-03-31 01:00:00,25.75,0.0,0.0
2017-03-31 02:00:00,24.11,117.647058823529,100.0
