Date,LBMP ($/MWHr),Power output (kW),State of Energy (kWh)
2017-06-15 00:00:00,22.42,0.0,0.0
2017-06-15 01:00:00,20.65,0.0,0.0
2017-06-15 02:00:00,18.05,0.0,0.0
2017-06-15 03:00:00,17.56,0.0,0.0
2017-06-15 04:00:00,16.1,117.647058823529,100.0
2017-06-15 05:00:00,15.58,117.647058823529,200.0
2017-06-15 06:00:00,21.35,0.0,200.0
2017-06-15 07:00:00,23.73,0.0,200.0
2017-06-15 08:00:00,26.8,0.0,200.0
2017-06-15 09:00:00,29.44,0.0,200.0
2017-06-15 10:00:00,31.22,0.0,200.0
2017-06-15 11:00:00,31.22,0.0,200.0
2017-06-15 12:00:00,30.96,0.0,200.0
2017-06-15 13:00:00,31.45,0.0,200.0
2017-06-15 14:00:00,33.03,0.0,200.0
2017-06-15 15:00:00,34.3,-117.647058823529,100.0
2017-06-15 16:00:00,34.43,-117.647058823529,0.0
2017-06-15 17:00:00,34.02,0.0,0.0
2017-06-15 18:00:00,31.98,0.0,0.0
2017-06-15 19:00:00,29.47,0.0,0.0
2017-06-15 20:00:00,29.97,0.0,0.0
2017-06-15 21:00:00,27.11,0.0,0.0
2017-06-15 22:00:00,24.65,0.0,0.0
2017-06-15 23:00:00,19.97,0.0,0.0
